Country,Year_Month,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths,Date_reported_x,Country_code_x,WHO_region_x,Date_reported_y,Country_code_y,WHO_region_y,Date_reported,Country_code,WHO_region,Health_Coverage_Index,Median_Age,Urban_Population_Share,Region,Temperature (°C),Relative Humidity (%),Ozone Concentration (ppb),Cases per Million
Somalia,2024-06,0.0,0.0,27334,1361,2024-06-01,SO,,2024-06-01,SO,,2024-06-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,32.49171556745253,64.53004316426001,49.124409997602925,0.0
Somalia,2024-07,0.0,0.0,27334,1361,2024-07-01,SO,,2024-07-01,SO,,2024-07-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,24.27739170619418,48.8290371972,46.86628017225303,0.0
Somalia,2024-08,0.0,0.0,27334,1361,2024-08-01,SO,,2024-08-01,SO,,2024-08-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,14.262846810476901,33.80273410584,45.33662961746034,0.0
Somalia,2024-09,0.0,0.0,27334,1361,2024-09-01,SO,,2024-09-01,SO,,2024-09-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,19.663046700613762,41.02784233898,47.753281770772965,0.0
South Africa,2020-01,0.0,0.0,0,0,2020-01-01,ZA,,2020-01-01,ZA,,2020-01-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,24.338053457562125,47.2841317527,48.45996946227147,0.0
South Africa,2020-02,0.0,0.0,0,0,2020-02-01,ZA,,2020-02-01,ZA,,2020-02-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,29.452284161362456,54.78466557938,49.966310322104164,0.0
South Africa,2020-03,1187.0,1.0,1187,1,2020-03-01,ZA,,2020-03-01,ZA,,2020-03-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,27.932802132680905,50.24672925128,48.93060252494256,1187.0
South Africa,2020-04,3174.0,85.0,4361,86,2020-04-01,ZA,,2020-04-01,ZA,,2020-04-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,34.59665665502527,68.2524077434,49.46445727346704,3174.0
South Africa,2020-05,26606.0,557.0,30967,643,2020-05-01,ZA,,2020-05-01,ZA,,2020-05-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,38.9595471104829,84.69669101676,49.065510819701316,26606.0
South Africa,2020-06,100833.0,3995.0,131800,4638,2020-06-01,ZA,,2020-06-01,ZA,,2020-06-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,22.77132491524327,46.11118476046,45.354756805199486,100833.0
South Africa,2020-07,302400.0,4503.0,434200,9141,2020-07-01,ZA,,2020-07-01,ZA,,2020-07-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,40.18236004263514,95.31056776477999,49.82571450330292,302400.0
South Africa,2020-08,188351.0,7326.0,622551,16467,2020-08-01,ZA,,2020-08-01,ZA,,2020-08-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,36.13129150895645,84.80233245834,49.376864526773105,188351.0
South Africa,2020-09,46947.0,2395.0,669498,18862,2020-09-01,ZA,,2020-09-01,ZA,,2020-09-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,34.13233395840251,73.68257665156,49.50794915959842,46947.0
South Africa,2020-10,44748.0,1479.0,714246,20341,2020-10-01,ZA,,2020-10-01,ZA,,2020-10-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,29.33737168188074,57.461553767320005,48.94337421717275,44748.0
South Africa,2020-11,70893.0,1098.0,785139,21439,2020-11-01,ZA,,2020-11-01,ZA,,2020-11-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,19.273091327495848,38.63749585288,46.44132204101026,70893.0
South Africa,2020-12,209772.0,5082.0,994911,26521,2020-12-01,ZA,,2020-12-01,ZA,,2020-12-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,20.6247516568952,41.16253740616,46.971389141871406,209772.0
South Africa,2021-01,454325.0,17430.0,1449236,43951,2021-01-01,ZA,,2021-01-01,ZA,,2021-01-01,ZA,,62.857142857142854,20.587675675675676,33.577046726372416,Sub-Saharan Africa,25.820010408441902,49.052966463299995,49.002196528796375,454325.0
